,i_url,Sanction,name,sex,Age,Weight,SQM,BPM,DLM,Total
0,462,PA-2013-01,Megan McDonald,0,24,46.4,82.5,57.5,135,275
1,462,PA-2013-01,Colleen McNamara,0,32,47,90,57.5,117.5,265
2,462,PA-2013-01,Angie Klaassen,0,,49.9,70,55,102.5,227.5
3,462,PA-2013-01,Karen Backenstose,0,37,55.3,102.5,60,127.5,290
4,462,PA-2013-01,Roxanne Kirstner,0,37,56,85,60,110,255
5,462,PA-2013-01,Michelle McCabe,0,29,53.9,85,62.5,100,247.5
6,462,PA-2013-01,Melissa Erwin,0,32,60,115,72.5,170,357.5
7,462,PA-2013-01,Julia Famiglietti,0,26,57.2,102.5,62.5,150,315
8,462,PA-2013-01,Alyssa Haveson,0,25,58.5,102.5,57.5,132.5,292.5
9,462,PA-2013-01,Leigh Thierfelder,0,31,57.3,77.5,70,117.5,265
10,462,PA-2013-01,Joanne Craig,0,52,59,97.5,50,117.5,265
11,462,PA-2013-01,Alyssa Booth,0,19,59.1,102.5,37.5,112.5,252.5
12,462,PA-2013-01,Melanie Merryman,0,22,59.9,72.5,52.5,107.5,232.5
13,462,PA-2013-01,Nida Setthachayanon,0,33,58.8,70,47.5,102.5,220
14,462,PA-2013-01,Shannon Leo,0,19,57.5,57.5,47.5,100,205
15,462,PA-2013-01,Lynne Renshaw,0,57,68,95,72.5,137.5,305
16,462,PA-2013-01,Heather Uhlin,0,44,73.2,87.5,57.5,127.5,272.5
17,462,PA-2013-01,Brandi Eberly,0,37,73.8,80,50,97.5,227.5
18,462,PA-2013-01,Chris Cummings,0,,71.5,80,45,100,225
19,462,PA-2013-01,Amy Scholl,0,,113.1,92.5,77.5,147.5,317.5
20,462,PA-2013-01,Jamie Wilcox,0,22,135.3,72.5,45,175,292.5
21,462,PA-2013-01,Sherry Weaver,0,49,108,70,65,102.5,237.5
22,462,PA-2013-01,Whitney Hawkins,0,23,66.5,105,52.5,122.5,280
23,462,PA-2013-01,Brandi Hurst,0,31,67.1,97.5,50,127.5,275
24,462,PA-2013-01,Rebecca McPeak,0,34,62.8,67.5,52.5,92.5,212.5
25,462,PA-2013-01,Kyle Troiano,1,19,59.7,120,85,175,380
26,462,PA-2013-01,Chris DePietrantonio,1,,73.4,170,145,245,560
27,462,PA-2013-01,Mike Cagliola,1,43,74,197.5,137.5,212.5,547.5
28,462,PA-2013-01,Joseph Cavanaugh,1,23,73.9,170,110,220,500
29,462,PA-2013-01,Samuel Barrett,1,21,74,142.5,92.5,165,400
30,462,PA-2013-01,Wayne Felger,1,55,70.3,102.5,80,155,337.5
32,462,PA-2013-01,Anthony Parella,1,,89.8,245,165,287.5,697.5
33,462,PA-2013-01,Mike Scheffel,1,,88.9,200,147.5,252.5,600
34,462,PA-2013-01,Jerry Barlow,1,26,87.8,170,150,247.5,567.5
35,462,PA-2013-01,Raffaele Longo,1,,87.9,185,117.5,217.5,520
36,462,PA-2013-01,Nathaniel Margolis,1,21,88.6,177.5,117.5,215,510
37,462,PA-2013-01,Paul Kelley,1,28,88.5,185,117.5,200,502.5
38,462,PA-2013-01,Mike Hemmig,1,49,88.2,147.5,105,202.5,455
39,462,PA-2013-01,Jeffrey Martin,1,34,88,145,105,182.5,432.5
40,462,PA-2013-01,Matthew Carbone,1,23,85.4,145,92.5,170,407.5
41,462,PA-2013-01,Timothy Kreider,1,25,88.3,130,75,175,380
42,462,PA-2013-01,Anthony Petrucci,1,21,96.6,227.5,162.5,260,650
43,462,PA-2013-01,Aaron Aguiar,1,,97.2,200,170,232.5,602.5
44,462,PA-2013-01,Ty Wagerle,1,37,94,207.5,140,245,592.5
45,462,PA-2013-01,Chris DeGeorge,1,,97.9,212.5,145,232.5,590
46,462,PA-2013-01,Joe Hartigan,1,27,98.3,192.5,145,235,572.5
47,462,PA-2013-01,Peter Hubbard,1,19,98.6,200,135,210,545
48,462,PA-2013-01,Phillip Rosenstern,1,59,95.4,170,107.5,250,527.5
49,462,PA-2013-01,Connor Fultz,1,20,92.8,185,142.5,197.5,525
50,462,PA-2013-01,Matthew Berger,1,36,95.1,185,137.5,190,512.5
51,462,PA-2013-01,Daniel Miller,1,21,97.5,160,122.5,227.5,510
52,462,PA-2013-01,Drew Krause,1,26,94.1,177.5,100,200,477.5
53,462,PA-2013-01,Anthony Contino,1,67,94.3,115,102.5,205,422.5
54,462,PA-2013-01,Christopher Martz Sr,1,50,93.8,115,92.5,150,357.5
55,462,PA-2013-01,Nathaniel Morton,1,18,93.3,90,105,145,340
57,462,PA-2013-01,Anthony Stavenski,1,34,104.3,272.5,270,250,792.5
58,462,PA-2013-01,Matthew Rosensweet,1,20,109.5,280,235,265,780
59,462,PA-2013-01,Ronald Scott Yard Sr,1,,110,267.5,195,287.5,750
60,462,PA-2013-01,Edward Christie,1,39,109.5,237.5,147.5,318.5,703.5
61,462,PA-2013-01,Michael Stumpf,1,24,107.9,235,160,267.5,662.5
62,462,PA-2013-01,John Barlock,1,43,107.7,240,160,230,630
63,462,PA-2013-01,Christopher Scavicchio,1,,105.6,247.5,152.5,225,625
64,462,PA-2013-01,Edward Schreiner,1,23,103.8,212.5,142.5,237.5,592.5
65,462,PA-2013-01,Harry Derr III,1,37,108.3,222.5,142.5,225,590
66,462,PA-2013-01,Steve Halliday,1,,108.8,197.5,160,230,587.5
67,462,PA-2013-01,Joshua Ruth,1,32,105.5,170,137.5,237.5,545
68,462,PA-2013-01,Jeffrey Van Dyke,1,,103.1,182.5,112.5,227.5,522.5
69,462,PA-2013-01,Gerald Burke,1,69,104.4,160,145,160,465
70,462,PA-2013-01,Peter King,1,22,111.6,220,172.5,215,607.5
71,462,PA-2013-01,Shay Mento,1,18,123,197.5,145,240,582.5
72,462,PA-2013-01,Daravann Lok,1,18,120.6,137.5,82.5,165,385
73,462,PA-2013-01,Domenick Fonio,1,51,122.8,62.5,62.5,62.5,187.5
74,462,PA-2013-01,Brad Newhard,1,22,129.2,357.5,197.5,245,800
75,462,PA-2013-01,James Smith,1,25,174.4,250,175,267.5,692.5
76,462,PA-2013-01,Hiram Brewer,1,22,138.3,227.5,162.5,232.5,622.5
77,462,PA-2013-01,Michael Pietrowski,1,19,142.9,250,145,215,610
78,462,PA-2013-01,Andrew Watson,1,25,66.9,216,135,240,591
79,462,PA-2013-01,Justin Mazza,1,21,66.7,175,150,217.5,542.5
80,462,PA-2013-01,Derek Rudy,1,18,66,177.5,92.5,195,465
81,462,PA-2013-01,Michael DeCarlo,1,41,60.2,125,95,165,385
82,462,PA-2013-01,Paul Griffith,1,68,66.8,137.5,75,155,367.5
83,462,PA-2013-01,Joshua Mink,1,22,81.4,197.5,140,237.5,575
84,462,PA-2013-01,Tyler Caparoni,1,19,79.8,195,102.5,230,527.5
85,462,PA-2013-01,Michael Carson,1,37,81.4,172.5,125,220,517.5
86,462,PA-2013-01,Ozzie Hyppolite,1,33,81.2,165,137.5,210,512.5
87,462,PA-2013-01,Michael Brown,1,57,79.9,150,137.5,215,502.5
88,462,PA-2013-01,Steven Westbrook,1,24,81.7,147.5,80,185,412.5
89,462,PA-2013-01,Cory Zaleski,1,29,82.1,142.5,87.5,177.5,407.5
90,462,PA-2013-01,Kevin Sullivan,1,23,82,147.5,82.5,170,400
94,471,GA-2013-01,Ann Leverett,0,59,45,80,60,115,255
95,471,GA-2013-01,Megan Dovell,0,,60,100,67.5,132.5,300
96,471,GA-2013-01,Renee Oppendisano,0,,72.5,127.5,80,145,352.5
97,471,GA-2013-01,Erin Cooke,0,,96.2,125,87.5,145,357.5
98,471,GA-2013-01,Ariana Santos,0,27,65.1,107.5,47.5,112.5,267.5
99,471,GA-2013-01,Fredrick Zeigler,1,23,72.8,160,137.5,182.5,480
100,471,GA-2013-01,Hans De Jesus,1,,74.8,150,102.5,197.5,450
101,471,GA-2013-01,Collin Smith,1,25,85.3,192.5,130,230,552.5
102,471,GA-2013-01,Nick Coker,1,,99.6,242.5,137.5,265,645
103,471,GA-2013-01,Nicholas Dunker,1,,98.7,162.5,137.5,220,520
104,471,GA-2013-01,Brandon Joyner,1,25,66.6,135,102.5,162.5,400
105,471,GA-2013-01,Will Libby,1,24,77.6,175,140,240,555
106,471,GA-2013-01,Kevin Wiley,1,44,62.9,110,105,145,360
107,471,GA-2013-01,Deron Rogers,1,48,113.1,135,50,270,455
108,471,GA-2013-01,Marvin Wheeler,1,50,80.4,107.5,87.5,122.5,317.5
